순위,책제목,저자,출판사,가격
423,한국 시집 초간본 100주년 기념판 하늘 세트 ㅣ 한국 시집 초간본 100주년 기념판   ,"김억, 김소월, 한용운, 정지용, 김영랑, 백석, 김상용, 유치환, 박목월, 조지훈, 박두진, 이남호",열린책들,"34,200원"
424,달러구트 꿈 백화점 (100만부 기념 합본호 기프트 에디션) ㅣ 달러구트 꿈 백화점   ,이미예,팩토리나인,"21,600원"
425,다정한 것이 살아남는다 (더 다정한 새해 프로젝트 리커버) ,"브라이언 헤어, 버네사 우즈, 이민아, 박한선",디플롯,"19,800원"
426,모순 ,양귀자,쓰다,"11,700원"
427,훌훌 ㅣ 문학동네 청소년 57 ,문경민,문학동네,"11,250원"
428,나는 당신이 행복했으면 좋겠습니다 ,박찬위,하이스트,"12,420원"
429,울다가 웃었다 ,김영철,김영사,"13,320원"
430,인스타 브레인 ,"안데르스 한센, 김아영",동양북스(동양문고),"13,500원"
431,리더의 질문법 ,"에드거 H. 샤인, 피터 샤인, 노승영",심심,"15,120원"
432,"지구는 괜찮아, 우리가 문제지 ",곽재식,어크로스,"16,920원"
433,과식하지 않는 삶 ,"이시구로 세이지, 전선영",머스트리드북,"13,050원"
434,너에게 시시한 기분은 없다 ,허연,민음사,"14,400원"
435,그리움은 아무에게나 생기지 않습니다 ,박근혜,가로세로연구소,"13,500원"
436,1984 ㅣ 민음사 세계문학전집 77 ,"조지 오웰, 정회성",민음사,"8,550원"
437,주식투자 절대 원칙  ,주식농부 박영옥,센시오,"15,300원"
438,떨림과 울림 (한정판 리커버) ,김상욱,동아시아,"13,500원"
439,정재승의 과학 콘서트 (개정증보 2판) ,정재승,어크로스,"15,120원"
440,2022 심우철 실전동형 모의고사 Season 1 ㅣ 2022 심우철 실전동형 모의고사  ,심우철,심슨북스,"14,400원"
441,2022년 제45회 이상문학상 작품집 ,"손보미, 강화길, 백수린, 서이제, 염승숙, 이장욱, 최은미",문학사상,"13,950원"
442,2022 신용한 행정학 약점공략 파트별 모의고사 세트 - 전2권 ,신용한,메가스터디교육(공무원),"19,800원"
443,어제 뭐 먹었어? 19  ,"요시나가 후미, 노미영",삼양출판사(만화),"5,400원"
444,안기고 싶은 남자 1위에게 협박당하고 있습니다 8 ,사쿠라비 하시고,현대지능개발사,"4,950원"
445,"오늘의 개, 새  ",송미경,사계절,"14,850원"
446,뉴 게임! New Game! 13 ,토쿠노 쇼타로,대원씨아이(만화),"5,850원"
447,이누야샤 와이드판 22 ,다카하시 루미코,학산문화사(만화),"13,500원"
448,이누야샤 와이드판 21 ,다카하시 루미코,학산문화사(만화),"13,500원"
449,옆집 천사님 때문에 어느샌가 인간적으로 타락한 사연 5 ,"사에키상, 하네코토, JYH",영상출판미디어(주),"6,750원"
450,그 비스크 돌은 사랑을 한다 1 ㅣ S코믹스  ,"후쿠다 신이치, 김현주",㈜소미미디어,"4,950원"
451,우리 모두  ,"레이먼드 카버, 고영범",문학동네,"24,300원"
452,모든 사람에게 사랑받을 필요는 없다 ,이평,스튜디오오드리,"13,500원"
453,SNS광고마케터 1급 ,"양일석, 임현재, 홍민",명진씨앤피,"16,200원"
454,2022 남정선 지방세법 스피드체크 단원별 기출문제집 ,남정선,더나은,"16,200원"
455,그때그때 가볍게 산다 ,장성숙,새벽세시,"13,500원"
456,2022 전효진 행정법총론 8421 문제집 ,전효진,연승,"14,850원"
457,나미야 잡화점의 기적 ,"히가시노 게이고, 양윤옥",현대문학,"13,320원"
458,데미안 ㅣ 민음사 세계문학전집 44  ,"헤르만 헤세, 전영애",민음사,"7,200원"
459,죽음의 수용소에서  ,"빅터 프랭클, 이시형",청아출판사,"8,820원"
460,푸른 사자 와니니 3 ㅣ 창비아동문고 316 ,"이현, 오윤화",창비,"9,720원"
461,주술회전 9 ,"아쿠타미 게게, 이정운",서울미디어코믹스(서울문화사),"4,500원"
462,죽이고 싶은 아이 ,이꽃님,우리학교,"11,250원"
463,착! 붙는 일본어 독학 첫걸음 (증보판) ㅣ 착! 붙는 외국어 시리즈  ,일본어 공부기술연구소,시사일본어사,"12,600원"
464,백년 허리 2 : 치료편 ㅣ 백년 허리 2  ,정선근,언탱글링,"16,650원"
465,백만장자 시크릿 ,"하브 에커, 나선숙",알에이치코리아(RHK),"14,400원"
466,1일 1로그 100일 완성 IT 지식 ,"브라이언 W. 커니핸, 하성창",인사이트,"18,000원"
467,2022 최신판 위포트 공기업 NCS 직업기초능력평가+직무수행능력평가 통합 기본서 모듈형 + PSAT형 ,위포트 연구소,위포트,"21,420원"
468,헬프 미 시스터  ,이서수,은행나무,"13,500원"
469,간다아아! ,"코리 R. 테이버, 노은정",대교북스주니어,"11,700원"
470,사춘기를 위한 맞춤법 수업 ,권희린,생각학교,"11,700원"
471,나 진짜 궁금해! ,"미카 아처, 김난령",나무의말,"13,500원"
472,2022 세무 메가패스 남정선 지방세법 단기완성 ㅣ 2022 세무 메가패스  ,남정선,㈜피앤피커뮤니케이션즈,"18,000원"
473,문해력 교과서 : 초등 국어 3학년 ㅣ 문해력 교과서  ,"이도영, 이형래, 이천희, 전인숙, 권은주, 김희동, 박주현, 우철하, 이정우, 전준희",창비교육,"10,800원"
474,너를 너무너무너무너무 좋아하는 100명의 그녀 2 ,"나카무라 리키토, 노자와 유키코",학산문화사(만화),"5,400원"
475,뻐꾸기 커플 4 ,요시카와 미키,학산문화사(만화),"5,400원"
476,침묵의 봄 ㅣ 레이첼 카슨 전집 5  ,"레이첼 카슨, 김은령, 홍욱희",에코리브르,"16,200원"
477,원피스 99  ,오다 에이치로,대원씨아이(만화),"4,500원"
478,마음챙김 ,"샤우나 샤피로, 박미경",안드로메디안,"14,850원"
479,흔한남매 과학 탐험대 2 : 지구와 달 ㅣ 흔한남매 과학 탐험대 2 ,"흔한남매, 이재국, 이현진, 김덕영, 정현철, 김희목, 권경아, 최진수, 박준건",주니어김영사,"11,520원"
480,메멘토 모리 ,"이어령, 김태완",열림원,"13,500원"
481,던전밥 11 ㅣ S코믹스  ,"쿠이 료코, 김민재",㈜소미미디어,"6,300원"
482,전세가를 알면 부동산 투자가 보인다 ,이현철,매일경제신문사,"16,200원"
483,그 비스크 돌은 사랑을 한다 6 ㅣ S코믹스  ,"후쿠다 신이치, 김현주",㈜소미미디어,"4,950원"
484,2022 해커스 코레일 한국철도공사 NCS+전공 봉투모의고사 6+3회 ,해커스 취업교육연구소,해커스공기업,"13,410원"
485,그 비스크 돌은 사랑을 한다 3 ㅣ S코믹스  ,"후쿠다 신이치, 김현주",㈜소미미디어,"4,950원"
486,인간과 사진 ㅣ 제프 다이어 선집   ,"제프 다이어, 김유진",을유문화사,"20,700원"
487,카구야 님은 고백받고 싶어 21 ,아카사카 아카,학산문화사(만화),"4,950원"
488,2022 성피티의 생활스포츠지도사 2급 필기 합격공식 ,"성우재, 정빛나",좋은땅,"27,000원"
489,문해력 교과서 : 초등 국어 1학년 ㅣ 문해력 교과서  ,"이도영, 이형래, 이천희, 전인숙, 권은주, 김희동, 박주현, 우철하, 이정우, 전준희",창비교육,"10,800원"
490,역사를 만든 음악가들  ,"로르 도트리슈, 이세진",프란츠,"16,020원"
491,The Art of 어드벤처 타임 ,"크리스 맥도널, 한소영, 기예르모 델 토로",아르누보,"43,200원"
492,이토록 공부가 재미있어지는 순간 ,박성혁,다산북스,"13,500원"
493,비전공자를 위한 이해할 수 있는 IT 지식 ,최원영,T.W.I.G(티더블유아이지)(주),"15,120원"
494,읽으면서 바로 써먹는 어린이 한국사 퀴즈 1 ㅣ 맛있는 공부 44 ,"한날, 전기현",파란정원,"10,800원"
495,레버리지 (양장) ,"롭 무어, 김유미",다산북스,"14,400원"
496,피프티 피플  ,정세랑,창비,"12,600원"
497,박시백의 고려사 1  ,박시백,휴머니스트,"13,050원"
498,2022 해커스공무원 신민숙 국어 빈출 어법 240제 (9급 7급) ,신민숙,해커스공무원,"12,600원"
499,그 비스크 돌은 사랑을 한다 5 ㅣ S코믹스  ,"후쿠다 신이치, 김현주",㈜소미미디어,"4,950원"
500,그 비스크 돌은 사랑을 한다 2 ㅣ S코믹스  ,"후쿠다 신이치, 김현주",㈜소미미디어,"4,950원"
